,record_num,id,latitude,longitude,current_status,bearing,current_stop_sequence,direction_id,label
0,1,y1884,-71.09259704,42.35717675,IN_TRANSIT_TO,342,15,0,1884
1,2,y1820,-71.1190161,42.37295689,IN_TRANSIT_TO,199,2,1,1820
2,3,y1790,-71.08378,42.32994,IN_TRANSIT_TO,0,1,0,1790
3,4,y1782,-71.07819708,42.33712293,IN_TRANSIT_TO,0,9,0,1782
4,5,y1763,-71.07565532,42.33538604,IN_TRANSIT_TO,138,18,1,1763
5,6,y1884,-71.09259704,42.35717675,IN_TRANSIT_TO,342,15,0,1884
6,7,y1820,-71.1190161,42.37295689,IN_TRANSIT_TO,199,2,1,1820
7,8,y1790,-71.08378,42.32994,IN_TRANSIT_TO,0,1,0,1790
8,9,y1782,-71.07819708,42.33712293,IN_TRANSIT_TO,0,9,0,1782
9,10,y1763,-71.07565532,42.33538604,IN_TRANSIT_TO,138,18,1,1763
10,11,y1884,-71.09283079,42.35768424,IN_TRANSIT_TO,337,15,0,1884
11,12,y1820,-71.11938732,42.37223601,IN_TRANSIT_TO,237,2,1,1820
12,13,y1790,-71.08378,42.32994,IN_TRANSIT_TO,0,1,0,1790
13,14,y1782,-71.07814936,42.33714757,IN_TRANSIT_TO,0,9,0,1782
14,15,y1763,-71.07545519,42.3350862,IN_TRANSIT_TO,184,18,1,1763
15,16,y1884,-71.09300201,42.35791535,IN_TRANSIT_TO,0,15,0,1884
16,17,y1820,-71.11946004,42.37222995,IN_TRANSIT_TO,160,2,1,1820
17,18,y1790,-71.08378,42.32994,IN_TRANSIT_TO,0,1,0,1790
18,19,y1782,-71.07814306,42.33715397,IN_TRANSIT_TO,0,9,0,1782
19,20,y1763,-71.07545519,42.3350862,IN_TRANSIT_TO,184,18,1,1763
20,21,y1884,-71.09299299,42.357939,IN_TRANSIT_TO,0,15,0,1884
21,22,y1820,-71.11935219,42.3722047,IN_TRANSIT_TO,124,2,1,1820
22,23,y1790,-71.08378,42.32994,IN_TRANSIT_TO,0,1,0,1790
23,24,y1782,-71.0783118,42.33738377,IN_TRANSIT_TO,317,9,0,1782
24,25,y1763,-71.07541692,42.33499837,IN_TRANSIT_TO,0,18,1,1763
25,26,y1884,-71.09315333,42.35822111,IN_TRANSIT_TO,337,15,0,1884
26,27,y1820,-71.1188266,42.3721031,IN_TRANSIT_TO,0,2,1,1820
27,28,y1790,-71.08378,42.32994,IN_TRANSIT_TO,0,1,0,1790
28,29,y1782,-71.07958,42.33872,IN_TRANSIT_TO,315,9,0,1782
29,30,y1763,-71.07541692,42.33499837,IN_TRANSIT_TO,0,18,1,1763
30,31,y1884,-71.09365214,42.35907176,IN_TRANSIT_TO,338,15,0,1884
31,32,y1820,-71.11807921,42.37193892,IN_TRANSIT_TO,106,2,1,1820
32,33,y1790,-71.08377,42.32995,IN_TRANSIT_TO,0,1,0,1790
33,34,y1782,-71.08025108,42.33917041,IN_TRANSIT_TO,326,9,0,1782
34,35,y1763,-71.07530761,42.33519383,IN_TRANSIT_TO,0,18,1,1763
35,36,y1884,-71.09381,42.35947,IN_TRANSIT_TO,315,15,0,1884
36,37,y1820,-71.11736926,42.37163583,IN_TRANSIT_TO,115,2,1,1820
37,38,y1790,-71.08377,42.32995,IN_TRANSIT_TO,0,1,0,1790
38,39,y1782,-71.080364,42.33924043,IN_TRANSIT_TO,217,9,0,1782
39,40,y1763,-71.07504804,42.33488963,IN_TRANSIT_TO,142,18,1,1763
40,41,y1884,-71.09387541,42.3594782,IN_TRANSIT_TO,318,15,0,1884
41,42,y1820,-71.11695735,42.37145142,IN_TRANSIT_TO,120,2,1,1820
42,43,y1790,-71.08377,42.32995,IN_TRANSIT_TO,0,1,0,1790
